,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather,time,location
0,1,September 11,Kansas City Chiefs,L 21–44,0–1,State Farm Stadium,Recap,Arizona Cardinals,None (retractable roof closed),1:25 p.m. MST,"State Farm Stadium, Glendale, Arizona"
1,2,September 18,at Las Vegas Raiders,W 29–23 (OT),1–1,Allegiant Stadium,Recap,Arizona Cardinals,None (indoor stadium),1:25 p.m. MST & PDT,"Allegiant Stadium, Paradise, Nevada"
2,3,September 25,Los Angeles Rams,L 12–20,1–2,State Farm Stadium,Recap,Arizona Cardinals,None (retractable roof closed),1:25 p.m. MST,"State Farm Stadium, Glendale, Arizona"
3,4,October 2,at Carolina Panthers,W 26–16,2–2,Bank of America Stadium,Recap,Arizona Cardinals,"Mostly cloudy, 65 °F (18 °C)",4:05 p.m. EDT/1:05 p.m. MST,"Bank of America Stadium, Charlotte, North Carolina"
4,5,October 9,Philadelphia Eagles,L 17–20,2–3,State Farm Stadium,Recap,Arizona Cardinals,None (retractable roof closed),1:25 p.m. MST,"State Farm Stadium, Glendale, Arizona"
5,6,October 16,at Seattle Seahawks,L 9–19,2–4,Lumen Field,Recap,Arizona Cardinals,"Sunny, 72 °F (22 °C)",1:05 p.m. MST & PDT,"Lumen Field, Seattle, Washington"
6,7,October 20,New Orleans Saints,W 42–34,3–4,State Farm Stadium,Recap,Arizona Cardinals,"Sunny, 89 °F (32 °C) (retractable roof open)",5:15 p.m. MST,"State Farm Stadium, Glendale, Arizona"
7,8,October 30,at Minnesota Vikings,L 26–34,3–5,U.S. Bank Stadium,Recap,Arizona Cardinals,None (indoor stadium),12:00 p.m. CDT/10:00 a.m. MST,"U.S. Bank Stadium, Minneapolis, Minnesota"
8,9,November 6,Seattle Seahawks,L 21–31,3–6,State Farm Stadium,Recap,Arizona Cardinals,"Sunny, 76 °F (24 °C) (retractable roof open)",2:05 p.m. MST,"State Farm Stadium, Glendale, Arizona"
9,10,November 13,at Los Angeles Rams,W 27–17,4–6,SoFi Stadium,Recap,Arizona Cardinals,"Sunny, 68 °F (20 °C)",2:25 p.m. MST/1:25 p.m. PST,"SoFi Stadium, Inglewood, California"
10,11,November 21,San Francisco 49ers,L 10–38,4–7,Estadio Azteca (Mexico City),Recap,Arizona Cardinals,"Rain, 60 °F (16 °C)",6:15 p.m. MST,"Estadio Azteca, Mexico City, Mexico"
11,12,November 27,Los Angeles Chargers,L 24–25,4–8,State Farm Stadium,Recap,Arizona Cardinals,None (retractable roof closed),2:05 p.m. MST,"State Farm Stadium, Glendale, Arizona"
12,13,Bye,Bye,Bye,Bye,Bye,Bye,Arizona Cardinals,,,
13,14,December 12,New England Patriots,L 13–27,4–9,State Farm Stadium,Recap,Arizona Cardinals,None (retractable roof closed),6:15 p.m. MST,"State Farm Stadium, Glendale, Arizona"
14,15,December 18,at Denver Broncos,L 15–24,4–10,Empower Field at Mile High,Recap,Arizona Cardinals,"Parly cloudy, 39 °F (4 °C)",2:05 p.m. MST,"Empower Field Mile High, Denver, Colorado"
15,16,December 25,Tampa Bay Buccaneers,L 16–19 (OT),4–11,State Farm Stadium,Recap,Arizona Cardinals,"Clear, 69 °F (21 °C) (retractable roof open)",6:20 p.m. MST,"State Farm Stadium, Glendale, Arizona"
16,17,January 1,at Atlanta Falcons,L 19–20,4–12,Mercedes-Benz Stadium,Recap,Arizona Cardinals,None (retractable roof closed),1:00 p.m. EST/11:00 a.m. MST,"Mercedes-Benz Stadium, Atlanta, Georgia"
17,18,January 8,at San Francisco 49ers,L 13–38,4–13,Levi's Stadium,Recap,Arizona Cardinals,"Cloudy, 60 °F (16 °C)",1:25 p.m. PST,"Levi's Stadium, Santa Clara, California"
