,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state
0,1,September 11,Jacksonville Jaguars,W 28–22,1–0,FedExField,Recap,Washington Commanders,Cloudy,74,12:00,Landover,Maryland
1,2,September 18,at Detroit Lions,L 27–36,1–1,Ford Field,Recap,Washington Commanders,None (indoor stadium),72,12:00,Detroit,Michigan
2,3,September 25,Philadelphia Eagles,L 8–24,1–2,FedExField,Recap,Washington Commanders,Sunny,72,12:00,Landover,Maryland
3,4,October 2,at Dallas Cowboys,L 10–25,1–3,AT&T Stadium,Recap,Washington Commanders,None (retractable roof closed),72,12:00,Arlington,Texas
4,5,October 9,Tennessee Titans,L 17–21,1–4,FedExField,Recap,Washington Commanders,Sunny,61,12:00,Landover,Maryland
5,6,October 13,at Chicago Bears,W 12–7,2–4,Soldier Field,Recap,Washington Commanders,Cloudy,46,19:15,Chicago,Illinois
6,7,October 23,Green Bay Packers,W 23–21,3–4,FedExField,Recap,Washington Commanders,Cloudy,62,12:00,Landover,Maryland
7,8,October 30,at Indianapolis Colts,W 17–16,4–4,Lucas Oil Stadium,Recap,Washington Commanders,None (retractable roof closed),72,15:25,Indianapolis,Indiana
8,9,November 6,Minnesota Vikings,L 17–20,4–5,FedExField,Recap,Washington Commanders,Cloudy,76,13:00,Landover,Maryland
9,10,November 14,at Philadelphia Eagles,W 32–21,5–5,Lincoln Financial Field,Recap,Washington Commanders,Clear,40,20:15,Philadelphia,Pennsylvania
10,11,November 20,at Houston Texans,W 23–10,6–5,NRG Stadium,Recap,Washington Commanders,None (retractable roof closed),72,13:00,Houston,Texas
11,12,November 27,Atlanta Falcons,W 19–13,7–5,FedExField,Recap,Washington Commanders,Rain,49,13:00,Landover,Maryland
12,13,December 4,at New York Giants,T 20–20 (OT),7–5–1,MetLife Stadium,Recap,Washington Commanders,Fair,44,13:00,East Rutherford,New Jersey
13,14,Bye,Bye,Bye,Bye,Bye,Bye,Washington Commanders,,,,,
14,15,December 18,New York Giants,L 12–20,7–6–1,FedExField,Recap,Washington Commanders,Cloudy,34,20:20,Landover,Maryland
15,16,December 24,at San Francisco 49ers,L 20–37,7–7–1,Levi's Stadium,Recap,Washington Commanders,Hazy,62,16:05,Santa Clara,California
16,17,January 1,Cleveland Browns,L 10–24,7–8–1,FedExField,Recap,Washington Commanders,Sunny,62,13:00,Landover,Maryland
17,18,January 8,Dallas Cowboys,W 26–6,8–8–1,FedExField,Recap,Washington Commanders,Cloudy,42,16:25,Landover,Maryland
